"Request ID","Patch Type","Release","Estimated End Time","Product Family","Status","POD","Customer Name","Request Details","Estimated Start Time","Estimated Time","Actual Patching  Start Date","Actual Patching End Date","Actual  Patching Time","Test Start Date","Test End Date","Notification Start Date","Notification End Date","Comments"
"26646","Language Packs","REL7","04:00 (PT)","CRM","Testing Complete","CAFC","Ademilar Administradora De Consorcios S A","3-8828332801 Ademilar Administradora De Consorcios S A (CAFC) CRM - Portuguese (Brazilian) - REL7","19:00 (PT)","4","25-APR-2014 19:00","25-Apr-2014 21:20","2h:20m","25-Apr-2014 21:21","25-Apr-2014 21:45","25-APR-2014 19:00","25-APR-2014 21:20","-"
"26663","Language Packs","REL7","04:00 (PT)","HCM","Testing Complete","HBBX-TEST","The Toronto Dominion Bank","3-8828676579 The Toronto Dominion Bank (HBBX-TEST) HCM - French (Canadian) - REL7","19:00 (PT)","4","25-APR-2014 19:00","25-Apr-2014 20:49","1h:49m","25-Apr-2014 20:50","25-Apr-2014 20:57","25-APR-2014 19:00","25-APR-2014 21:03","-"
"26787","Language Packs","REL7","04:00 (PT)","HCM","Testing Complete","HBBX","The Toronto Dominion Bank","3-8835290735 The Toronto Dominion Bank (HBBX) HCM - French (Canadian) - REL7","19:00 (PT)","4","25-APR-2014 19:00","25-Apr-2014 20:37","1h:37m","25-Apr-2014 20:50","25-Apr-2014 20:57","25-APR-2014 19:00","25-APR-2014 21:05","-"
"26788","Language Packs","REL7","04:00 (PT)","CRM","Testing Complete","CAEZ","TNT Mercurio Cargas E Encomendas Expressas S.A","3-8845123393 TNT Mercurio Cargas E Encomendas Expressas S.A (CAEZ) CRM - Portuguese (Brazilian) - REL7","19:00 (PT)","4","25-APR-2014 19:00","25-Apr-2014 20:55","1h:55m","25-Apr-2014 21:00","25-Apr-2014 21:25","25-APR-2014 19:00","25-APR-2014 20:55","-"
"26883","Language Packs","REL7","04:00 (PT)","CRM","Testing Complete","CAEZ-TEST","TNT Mercurio Cargas E Encomendas Expressas S.A","3-8844868792 TNT Mercurio Cargas E Encomendas Expressas S.A (CAEZ-TEST) CRM - Portuguese (Brazilian) - REL7","19:00 (PT)","4","25-APR-2014 19:00","25-Apr-2014 22:17","3h:17m","25-Apr-2014 22:20","25-Apr-2014 22:40","25-APR-2014 19:00","25-APR-2014 22:17","-"
"26986","Language Packs","REL7","22:00 (PT)","CRM","Testing Complete","CADX","Spu Oy","3-8858159324 Spu Oy (CADX) CRM - Finnish - REL7","13:00 (PT)","4","25-APR-2014 13:00","25-Apr-2014 14:38","1h:37m","25-Apr-2014 14:50","25-Apr-2014 15:04","25-APR-2014 13:00","25-APR-2014 14:45","-"
"27163","Language Packs","REL8","04:00 (PT)","HCM","Testing Complete","HWF","Schneider Electric Industries SAS","3-8817916382 Schneider Electric Industries SAS (HWF) HCM - Russian - REL8","19:00 (PT)","5","26-APR-2014 01:25","26-Apr-2014 07:57","6h:32m","26-Apr-2014 08:02","26-Apr-2014 08:17","25-APR-2014 19:00","26-APR-2014 08:16","-"
"27164","Language Packs","REL8","15:00 (PT)","HCM","Testing Complete","HCAC-TEST","Axa Group Solutions SAS APAC","3-8858693089 Axa Group Solutions SAS APAC (HCAC-TEST) HCM - French, Chinese (Traditional) & Chinese (Simplified) - REL8","06:00 (PT)","10","25-APR-2014 13:46","25-Apr-2014 19:21","5h:35m","25-Apr-2014 19:26","25-Apr-2014 19:44","25-APR-2014 06:00","25-APR-2014 19:23","-"
"27165","Language Packs","REL8","15:00 (PT)","CRM","Testing Complete","CAFQ","Wistron Software (Beijing) Co., Ltd.","3-8868915435 Wistron Software (Beijing) Co., Ltd. (CAFQ) CRM - Chinese (Simplified) - REL8","06:00 (PT)","4","25-APR-2014 06:05","25-Apr-2014 10:30","4h:25m","25-Apr-2014 10:30","25-Apr-2014 11:00","25-APR-2014 06:00","25-APR-2014 10:30","-"
"27166","Language Packs","REL8","15:00 (PT)","CRM","Testing Complete","CAFQ-TEST","Wistron Software (Beijing) Co., Ltd.","3-8856583226 Wistron Software (Beijing) Co., Ltd. (CAFQ-TEST) CRM - Chinese (Simplified) - REL8","06:00 (PT)","4","25-APR-2014 06:00","25-Apr-2014 09:29","3h:29m","25-Apr-2014 09:27","25-Apr-2014 09:37","25-APR-2014 06:00","25-APR-2014 09:29","-"
